rank_new_value,gpu_model,benchmark_group,normalized_fps_1440p,new_price,new_cost_per_fps,Link,source,last_updated
46,RTX 3080 12GB,legacy,72.0,1095.0,15.208,https://www.newegg.com/msi-rtx-3080-ventus-3x-plus-12g-lhr-geforce-rtx-3080-12gb-graphics-card-triple-fans/p/N82E16814137764?Item=9SIB4VJKC38253,Toms_GPU_Hierarchy_2022,2026-03-03
47,RTX 3080 Ti,legacy,73.1,1145.0,15.663,https://www.newegg.com/p/1FT-000M-003C4?Item=9SIB4VJKBY1610,Toms_GPU_Hierarchy_2022,2026-03-03
48,RX 6500 XT,legacy,12.7,199.62,15.718,https://www.newegg.com/gigabyte-gv-r65xteagle-4gd-radeon-rx-6500-xt-4gb-graphics-card-windforce-2x/p/N82E16814932492?Item=9SIBTK0KF15218,Toms_GPU_Hierarchy_2022,2026-03-06
49,RX 6700 10GB,legacy,44.2,699.0,15.814,https://www.newegg.com/sapphire-tech-pulse-11321-02-20g-radeon-rx-6700-10gb-graphics-card-double-fans/p/N82E16814202424?Item=9SIB4VJKFK5654,Toms_GPU_Hierarchy_2022,2026-03-03
50,RTX 2080,legacy,44.5,725.0,16.292,https://www.newegg.com/asus-dual-rtx2080-8g-evo-geforce-rtx-2080-8gb-graphics-card-double-fans/p/N82E16814126340?Item=9SIB4VJKBM6266,Toms_GPU_Hierarchy_2022,2026-03-03
51,RTX 2060,legacy,28.2,469.0,16.631,https://www.newegg.com/gigabyte-gv-n2060wf2oc-6gd-r2-geforce-rtx-2060-6gb-graphics-card-windforce-2x/p/N82E16814932157?Item=9SIBW8HKBY1760,Toms_GPU_Hierarchy_2022,2026-03-03
52,RTX 2080 Super,legacy,46.5,799.0,17.183,https://www.newegg.com/msi-rtx-2080-super-ventus-oc-geforce-rtx-2080-super-8gb-graphics-card-double-fans/p/N82E16814137443?Item=9SIB4VJKBM6279,Toms_GPU_Hierarchy_2022,2026-03-03
53,RTX 2060 Super,legacy,34.0,588.0,17.294,https://www.newegg.com/pny-technologies-inc-geforce-rtx-2060-8gb-graphics-card/p/1FT-000P-003P0?Item=9SIB4VJKP93706,Toms_GPU_Hierarchy_2022,2026-03-03
54,RTX 2070 Super,legacy,42.1,745.0,17.696,https://www.newegg.com/msi-rtx-2070-super-gaming-z-trio-geforce-rtx-2070-super-8gb-graphics-card-triple-fans/p/N82E16814137487?Item=9SIB4VJKMG7528,Toms_GPU_Hierarchy_2022,2026-03-03
55,RTX 2070,legacy,36.5,675.0,18.493,https://www.newegg.com/gigabyte-gv-n2070aorus-8gc-geforce-rtx-2070-8gb-graphics-card-windforce-stack/p/N82E16814932088?Item=9SIB4VJKP93808,Toms_GPU_Hierarchy_2022,2026-03-03
56,RTX 3090,legacy,74.6,1510.2,20.244,https://www.newegg.com/nvidia-900-1g1362-5100-00-geforce-rtx-3090-24gb-graphics-card/p/1FT-0004-00842?Item=9SIBTK0KFV5254,Toms_GPU_Hierarchy_2022,2026-03-03
57,RTX 5090,modern,143.0,3599.99,25.175,https://www.newegg.com/zotac-rtx-5090-solid-oc-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814500639?Item=N82E16814500639,Toms_GPU_Hierarchy_2026,2026-03-03
58,RTX 3090 Ti,legacy,79.3,1998.0,25.195,https://www.newegg.com/p/1FT-001K-00FE5?Item=9SIB4VJKBN8280,Toms_GPU_Hierarchy_2022,2026-03-03
59,RTX 4090,modern,126.6,3395.0,26.817,https://www.newegg.com/p/1FT-000A-00695?Item=9SIB4VJKFX4642,Toms_GPU_Hierarchy_2026,2026-03-03
